Batch,Accuracy,F1,Threshold
1,0.5,0.429,0.5
2,0.688,0.0,0.5
3,0.562,0.222,0.5
4,0.75,0.333,0.5
5,0.438,0.0,0.5
6,0.688,0.0,0.5
7,0.75,0.0,0.5
8,0.688,0.0,0.5
9,0.562,0.0,0.5
10,0.471,0.0,0.5
