model,accuracy,precision,recall,f1,auc_roc
Logistic Regression,0.7077922077922078,0.6046511627906976,0.48148148148148145,0.5360824742268041,0.8066666666666666
DT,0.6883116883116883,0.6363636363636364,0.25925925925925924,0.3684210526315789,0.7640740740740741
RF,0.7727272727272727,0.7111111111111111,0.5925925925925926,0.6464646464646465,0.817037037037037
SVM,0.7077922077922078,0.6046511627906976,0.48148148148148145,0.5360824742268041,0.8164814814814815
MLP,0.7207792207792207,0.6122448979591837,0.5555555555555556,0.5825242718446602,0.6827777777777778
MLP,0.7337662337662337,0.6181818181818182,0.6296296296296297,0.6238532110091743,0.7098148148148149
